"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Family Adventure","http://www.rcdb.com/./1035.htm","Mirabilandia","http://www.rcdb.com/./4793.htm","2001","Sit Down","42","1099","0","28.5","75","44.337532","12.263328","Italy"
"Family Coaster","http://www.rcdb.com/./1347.htm","Dream Park","http://www.rcdb.com/./5021.htm","1998","Sit Down","42","1099","0","28.5","66","29.967343","31.059262","Egypt"
"Firehawk","http://www.rcdb.com/./3793.htm","Kings Island","http://www.rcdb.com/./4540.htm","2007","Flying","115","3340","5","50","130","39.342080","-84.268460","USA"
"Firewhip","http://www.rcdb.com/./4149.htm","Beto Carrero World","http://www.rcdb.com/./4948.htm","2008","Inverted","109","2260","5","49.7","96","-26.802481","-48.614367","Brazil"
"Flashback","http://www.rcdb.com/./8.htm","Six Flags Over Texas","http://www.rcdb.com/./4531.htm","1989","Sit Down","116","935","3","47","108","32.757057","-97.069981","USA"
"Flashback","http://www.rcdb.com/./629.htm","Six Flags New England","http://www.rcdb.com/./4565.htm","2000","Sit Down","116","935","3","47","108","42.038401","-72.613535","USA"
"Flight Deck","http://www.rcdb.com/./57.htm","Canada's Wonderland","http://www.rcdb.com/./4539.htm","1995","Inverted","109","2260","5","49.7","88","43.840556","-79.541874","Canada"
"Flight of the Hippogriff","http://www.rcdb.com/./703.htm","Universal Studios Islands of Adventure","http://www.rcdb.com/./4734.htm","2000","Sit Down","42","1099","0","28.5","66","28.471874","-81.471198","USA"
"Flying ACE Aerial Chase","http://www.rcdb.com/./1037.htm","Kings Island","http://www.rcdb.com/./4540.htm","2001","Inverted","48","1122","0","26","90","39.342080","-84.268460","USA"
"Flying Ace Aerial Chase","http://www.rcdb.com/./1897.htm","Carowinds","http://www.rcdb.com/./4542.htm","2003","Inverted","48","1122","0","26","90","35.102799","-80.941408",""
"Flying School","http://www.rcdb.com/./2718.htm","Legoland Florida","http://www.rcdb.com/./5589.htm","2004","Inverted","48","1122","0","26","90","27.991597","-81.692222","USA"
"Flying Tiger","http://www.rcdb.com/./998.htm","Zoo Safaripark Stukenbrock","http://www.rcdb.com/./4878.htm","1981","Sit Down","64","1148","2","37.3","0","51.887140","8.680744","Germany"
"Fly the Great Nor'Easter","http://www.rcdb.com/./158.htm","Morey's Piers","http://www.rcdb.com/./4560.htm","1995","Inverted","115","2170","5","55","125","38.989470","-74.802754","USA"
"French Revolution","http://www.rcdb.com/./1335.htm","Lotte World","http://www.rcdb.com/./5016.htm","1989","Sit Down","0","0","1","0","105","0","0","South Korea"
"Gadget's Go Coaster","http://www.rcdb.com/./295.htm","Disneyland","http://www.rcdb.com/./4571.htm","1993","Sit Down","27","679","0","21.7","44","33.812624","-117.918727","USA"
