"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Euro-Star","http://www.rcdb.com/./4242.htm","Gorky Park","http://www.rcdb.com/./5374.htm","2008","Inverted","98","2769","4","50.2","0","55.729442","37.599289","Russia"
"Expedition GeForce","http://www.rcdb.com/./977.htm","Holiday Park","http://www.rcdb.com/./4871.htm","2001","Mega-lite / Mega / Giga","173","4002","0","74.6","75","49.318760","8.297578","Germany"
"Fahrenheit","http://www.rcdb.com/./4049.htm","Hersheypark","http://www.rcdb.com/./4545.htm","2008","Sit Down","121","2700","6","58","85","40.290427","-76.654229","USA"
"Flashback","http://www.rcdb.com/./128.htm","Six Flags Magic Mountain","http://www.rcdb.com/./4532.htm","1992","Sit Down","86","1900","0","35","90","34.424243","-118.597906","USA"
"Flight of the Phoenix","http://www.rcdb.com/./3448.htm","Harborland","http://www.rcdb.com/./5917.htm","2006","Sit Down","101","2723","8","49.7","0","29.898610","121.847200","China"
"Fly Over Mediterranean","http://www.rcdb.com/./4220.htm","Happy Valley","http://www.rcdb.com/./6253.htm","2009","Mega-lite / Mega / Giga","0","0","0","0","0","30.723521","104.032824","China"
"Formula Rossa","http://www.rcdb.com/./4485.htm","Ferrari World Abu Dhabi","http://www.rcdb.com/./6302.htm","2010","Launched","170","6561","0","149.1","0","0","0","United Arab Emirates"
"Furius Baco","http://www.rcdb.com/./3430.htm","PortAventura Park","http://www.rcdb.com/./4792.htm","2007","Launched","0","2788","1","83.9","55","41.086791","1.156772","Spain"
"Future World Experience","http://www.rcdb.com/./2382.htm","Mega Web","http://www.rcdb.com/./5151.htm","2002 or earlier","Sit Down","0","0","0","0","0","35.626980","139.782792",""
"Galaxy Express 999","http://www.rcdb.com/./3138.htm","Aqua Stadium","http://www.rcdb.com/./5758.htm","2005","Launched","0","0","1","34.2","0","35.627809","139.735354",""
