"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Black Mamba","http://www.rcdb.com/./3117.htm","Phantasialand","http://www.rcdb.com/./4872.htm","2006","Inverted","85","2519","4","49.7","0","50.799764","6.880295","Germany"
"Chang","http://www.rcdb.com/./275.htm","Kentucky Kingdom","http://www.rcdb.com/./4563.htm","1997","Stand Up","154","4155","5","63","150","38.195000","-85.747583","USA"
"Crystal Wing","http://www.rcdb.com/./3141.htm","Happy Valley","http://www.rcdb.com/./5689.htm","2006","Flying","106","2798","2","51","0","39.866418","116.488627","China"
"Dæmonen","http://www.rcdb.com/./2504.htm","Tivoli Gardens","http://www.rcdb.com/./4905.htm","2004","Floorless","92","1850","3","48","106","55.673483","12.568241","Denmark"
"Diamondback","http://www.rcdb.com/./4253.htm","Kings Island","http://www.rcdb.com/./4540.htm","2009","Mega","230","5282","0","80","180","39.342080","-84.268460","USA"
"Diavlo","http://www.rcdb.com/./1208.htm","Himeji Central Park","http://www.rcdb.com/./4966.htm","1994","Inverted","108","2606","5","48.5","108","34.873468","134.763976","Japan"
"Dive Coaster","http://www.rcdb.com/./3930.htm","Chimelong Paradise","http://www.rcdb.com/./5904.htm","2008","Dive machine","196","3218","1","69.6","0","23.002081","113.325562","China"
"Diving Coaster","http://www.rcdb.com/./4224.htm","Happy Valley","http://www.rcdb.com/./6259.htm","2009","Dive machine","213","3179","1","0","0","31.098714","121.211236","China"
"Diving Machine G5","http://www.rcdb.com/./1417.htm","Janfusun Fancyworld","http://www.rcdb.com/./5044.htm","2000","Dive machine","0","1250","0","68.3","0","0","0","Taiwan"
"Dominator","http://www.rcdb.com/./632.htm","Geauga Lake & Wildwater Kingdom","http://www.rcdb.com/./4586.htm","2000","Floorless","157","4210","5","65","0","41.351273","-81.377310","USA"
"Dominator","http://www.rcdb.com/./4079.htm","Kings Dominion","http://www.rcdb.com/./4544.htm","2008","Floorless","157","4210","5","65","0","37.838440","-77.443310","USA"
"Dragon Challenge","http://www.rcdb.com/./558.htm","Universal Studios Islands of Adventure","http://www.rcdb.com/./4734.htm","1999","Inverted","125","3200","5","60","145","28.471874","-81.471198","USA"
"Dragon Khan","http://www.rcdb.com/./760.htm","PortAventura Park","http://www.rcdb.com/./4792.htm","1995","Sit Down","148","4165","8","65","105","41.086791","1.156772","Spain"
"Flight Deck","http://www.rcdb.com/./80.htm","California's Great America","http://www.rcdb.com/./4541.htm","1993","Inverted","102","2260","3","50","146","37.395422","-121.972210","USA"
"Gambit","http://www.rcdb.com/./1521.htm","Thrill Valley","http://www.rcdb.com/./5084.htm","1995","Inverted","105","2693","5","50","120","0","0","Gotemba Premium Outlets"
"Georgia Scorcher","http://www.rcdb.com/./556.htm","Six Flags Over Georgia","http://www.rcdb.com/./4535.htm","1999","Stand Up","107","3000","2","54","84","33.768915","-84.549977","USA"
"Goliath","http://www.rcdb.com/./3290.htm","Six Flags Over Georgia","http://www.rcdb.com/./4535.htm","2006","Mega","200","4480","0","70","0","33.768915","-84.549977","USA"
"Goliath","http://www.rcdb.com/./3385.htm","La Ronde","http://www.rcdb.com/./4567.htm","2006","Mega","174","4038","0","68.3","0","45.523932","-73.535067","Canada"
"Goliath","http://www.rcdb.com/./3976.htm","Six Flags Fiesta Texas","http://www.rcdb.com/./4538.htm","2008","Inverted","105","2693","5","50","120","29.597554","-98.610835","USA"
"Great Bear","http://www.rcdb.com/./468.htm","Hersheypark","http://www.rcdb.com/./4545.htm","1998","Inverted","90","2800","4","58","175","40.290427","-76.654229","USA"
"Great White","http://www.rcdb.com/./278.htm","SeaWorld San Antonio","http://www.rcdb.com/./4601.htm","1997","Inverted","108","2562","5","50","120","29.457650","-98.698704","USA"
"Green Lantern","http://www.rcdb.com/./8932.htm","Six Flags Great Adventure","http://www.rcdb.com/./4534.htm","2011","Stand Up","154","4155","5","63","150","40.137005","-74.440956","USA"
"Griffon","http://www.rcdb.com/./3631.htm","Busch Gardens Williamsburg","http://www.rcdb.com/./4548.htm","2007","Dive machine","205","3108","2","71","180","37.233980","-76.648160","USA"
"Hair Raiser","http://www.rcdb.com/./9647.htm","Ocean Park","http://www.rcdb.com/./4974.htm","2011","Floorless","0","0","4","54.7","0","22.233205","114.169879","China"
